,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop
422,2013-04-14,2.857486111111111,5.00000019032514,64.00008757201616,1.2857625000000001,1.4545938144329895,1.3333435373889353,3.9999992929315606
423,2013-04-21,3.0479851851851847,5.00000019032514,66.00009030864166,1.1429,1.4545938144329895,1.3333435373889353,2.99999946969867
424,2013-04-28,2.857486111111111,4.285714448850118,64.00008757201616,1.0000375,1.2727695876288658,1.3333435373889353,2.499999558082225
425,2013-05-05,2.476487962962963,3.571428707375099,62.000084835390645,0.857175,1.0909453608247421,1.3333435373889353,1.499999734849335
426,2013-05-12,2.0954898148148144,3.571428707375099,60.00008209876515,0.7143125,1.0909453608247421,1.3333435373889353,1.9999996464657803
427,2013-05-19,1.9049907407407405,2.8571429659000795,54.000073888888636,0.7143125,0.9091211340206184,1.3333435373889353,1.499999734849335
428,2013-05-26,1.7144916666666665,2.8571429659000795,56.00007662551414,0.7143125,0.9091211340206184,0.6666717686944676,1.9999996464657803
429,2013-06-02,1.7144916666666665,2.8571429659000795,52.00007115226313,0.57145,0.7272969072164948,0.6666717686944676,0.9999998232328902
430,2013-06-09,1.5239925925925923,2.8571429659000795,48.000065679012124,0.57145,0.7272969072164948,1.3333435373889353,0.9999998232328902
431,2013-06-16,1.3334935185185184,2.142857224425059,50.00006841563762,0.57145,0.7272969072164948,1.3333435373889353,0.9999998232328902
432,2013-06-23,1.3334935185185184,2.142857224425059,46.00006294238661,0.57145,0.7272969072164948,0.6666717686944676,1.499999734849335
433,2013-06-30,1.1429944444444442,2.142857224425059,44.00006020576111,0.57145,0.7272969072164948,0.6666717686944676,0.9999998232328902
434,2013-07-07,1.3334935185185184,2.142857224425059,44.00006020576111,0.4285875,0.7272969072164948,0.6666717686944676,0.4999999116164451
435,2013-07-14,1.3334935185185184,2.142857224425059,42.000057469135605,0.4285875,0.7272969072164948,0.6666717686944676,0.9999998232328902
436,2013-07-21,1.3334935185185184,2.8571429659000795,46.00006294238661,0.57145,0.7272969072164948,1.3333435373889353,0.9999998232328902
437,2013-07-28,1.3334935185185184,2.142857224425059,48.000065679012124,0.57145,0.9091211340206184,1.3333435373889353,0.9999998232328902
438,2013-08-04,1.3334935185185184,2.142857224425059,50.00006841563762,0.57145,0.7272969072164948,1.3333435373889353,0.9999998232328902
439,2013-08-11,1.7144916666666665,2.8571429659000795,54.000073888888636,0.57145,0.7272969072164948,2.0000153060834025,1.499999734849335
440,2013-08-18,1.7144916666666665,2.8571429659000795,54.000073888888636,0.7143125,0.7272969072164948,2.6666870747778706,0.9999998232328902
441,2013-08-25,2.0954898148148144,3.571428707375099,60.00008209876515,0.857175,0.9091211340206184,4.000030612166805,1.9999996464657803
442,2013-09-01,2.476487962962963,5.714285931800159,68.00009304526716,1.1429,1.0909453608247421,8.00006122433361,1.9999996464657803
443,2013-09-08,3.0479851851851847,7.142857414750198,72.00009851851819,1.428625,1.2727695876288658,12.000091836500417,2.99999946969867
444,2013-09-15,3.238484259259259,9.285714639175257,84.00011493827121,1.8572125000000002,1.4545938144329895,16.66679421736169,3.9999992929315606
445,2013-09-22,3.809981481481481,12.142857605075339,90.00012314814772,2.4286625,1.6364180412371134,22.6668401356119,3.499999381315115
446,2013-09-29,3.619482407407407,13.571429088025377,82.0001122016457,2.7143875,1.818242268041237,28.00021428516764,5.499999027780895
447,2013-10-06,3.619482407407407,13.571429088025377,80.0001094650202,2.85725,1.818242268041237,28.00021428516764,4.99999911616445
448,2013-10-13,3.809981481481481,13.571429088025377,82.0001122016457,2.7143875,2.0000664948453606,26.000198979084235,4.499999204548005
449,2013-10-20,4.000480555555555,13.571429088025377,94.00012862139873,2.7143875,2.1818907216494843,24.6668554416953,4.99999911616445
450,2013-10-27,3.809981481481481,11.428571863600318,86.00011767489671,2.4286625,2.1818907216494843,20.666824829528494,4.499999204548005
451,2013-11-03,3.809981481481481,11.428571863600318,96.00013135802425,2.2858,2.1818907216494843,18.000137754750625,5.499999027780895
452,2013-11-10,3.809981481481481,10.714286122125298,104.00014230452626,2.2858,2.363714948453608,14.666778911278287,6.499998851013785
453,2013-11-17,3.809981481481481,9.285714639175257,96.00013135802425,2.000075,2.1818907216494843,12.000091836500417,5.499999027780895
454,2013-11-24,2.6669870370370368,8.571428897700237,106.00014504115177,1.8572125000000002,2.1818907216494843,9.333404761722546,3.499999381315115
455,2013-12-01,4.000480555555555,9.285714639175257,104.00014230452626,2.000075,2.727363402061856,8.00006122433361,5.499999027780895
456,2013-12-08,4.381478703703704,10.00000038065028,114.00015598765377,2.1429375,2.909187628865979,8.00006122433361,5.99999893939734
457,2013-12-15,5.3339740740740735,12.142857605075339,118.0001614609048,2.85725,4.000132989690721,8.00006122433361,8.99999840909601
458,2013-12-22,6.095970370370369,16.428572053925457,136.00018609053433,3.7144250000000003,6.000199484536083,8.00006122433361,14.499997436876905
459,2013-12-29,8.00096111111111,22.857143727200636,170.00023261316792,4.857325,7.272969072164948,16.00012244866722,13.499997613644018
460,2014-01-05,9.33445462962963,29.285715400475816,170.00023261316792,6.4288125,8.36391443298969,28.00021428516764,15.999997171726243
461,2014-01-12,9.33445462962963,27.142858176050755,128.0001751440323,5.7145,8.000265979381442,22.6668401356119,17.99999681819202
462,2014-01-19,8.381959259259258,21.428572244250596,144.00019703703637,4.5716,6.9093206185567,14.666778911278287,12.499997790411125
463,2014-01-26,7.429463888888888,17.857143536875494,138.00018882715983,3.7144250000000003,5.636551030927834,10.000076530417013,12.99999770202757
464,2014-02-02,5.905471296296295,12.857143346550357,118.0001614609048,2.7143875,4.3637814432989686,6.000045918250208,6.499998851013785
465,2014-02-09,5.143475,10.00000038065028,110.00015051440276,2.1429375,3.272836082474227,4.666702380861273,6.99999876263023
466,2014-02-16,4.571977777777777,9.285714639175257,104.00014230452626,2.000075,3.0910118556701027,3.333358843472338,7.499998674246675
467,2014-02-23,4.190979629629629,7.857143156225218,100.00013683127524,1.71435,2.727363402061856,3.333358843472338,4.499999204548005
468,2014-03-02,3.809981481481481,7.142857414750198,96.00013135802425,1.5714875000000001,2.363714948453608,2.6666870747778706,3.9999992929315606
469,2014-03-09,3.428983333333333,6.4285716732751785,88.00012041152222,1.428625,2.0000664948453606,2.0000153060834025,3.499999381315115
470,2014-03-16,3.238484259259259,5.714285931800159,86.00011767489671,1.2857625000000001,2.0000664948453606,2.0000153060834025,3.9999992929315606
471,2014-03-23,3.238484259259259,5.714285931800159,86.00011767489671,1.2857625000000001,2.0000664948453606,2.0000153060834025,4.499999204548005
472,2014-03-30,3.428983333333333,5.714285931800159,78.00010672839468,1.2857625000000001,1.818242268041237,2.0000153060834025,4.499999204548005
473,2014-04-06,3.809981481481481,5.714285931800159,76.00010399176918,1.2857625000000001,1.818242268041237,2.0000153060834025,1.9999996464657803
